,AIRCRAFT,ORIGIN,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
203,E145,BLR,27592030,27592095,27592037,463.8928171,0.0,1.0,1.0,0.0
204,E145,BLR,27590590,27590655,27590694,463.8928171,0.0,1.0,1.0,0.0
205,E145,BLR,27589150,27589215,27589241,463.8928171,0.0,1.0,1.0,0.0
206,E145,BLR,27587710,27587775,27587728,463.8928171,0.0,1.0,1.0,0.0
207,E145,BLR,27586270,27586335,27586274,463.8928171,0.0,1.0,1.0,0.0
208,E145,BLR,27584830,27584895,27584832,463.8928171,0.0,1.0,1.0,0.0
209,E145,BLR,27580510,27580575,27580520,463.8928171,0.0,1.0,1.0,0.0
210,E145,BLR,27579070,27579135,27579184,463.8928171,0.0,1.0,1.0,0.0
211,E145,BLR,27577630,27577695,27577638,463.8928171,0.0,1.0,1.0,0.0
212,E145,BLR,27576190,27576255,27576189,463.8928171,0.0,1.0,1.0,0.0
213,E145,BLR,27574750,27574815,27574758,463.8928171,0.0,1.0,1.0,0.0
214,E145,BLR,27573310,27573375,27573375,463.8928171,0.0,1.0,1.0,0.0
215,E145,BLR,27571870,27571935,27571873,463.8928171,0.0,1.0,1.0,0.0
216,E145,BLR,27570430,27570495,27570440,463.8928171,0.0,1.0,1.0,0.0
217,E145,BLR,27568990,27569055,27569100,463.8928171,0.0,1.0,1.0,0.0
218,E145,BLR,27566110,27566175,27566111,463.8928171,0.0,1.0,1.0,0.0
219,E145,BLR,27564670,27564735,27564684,463.8928171,0.0,1.0,1.0,0.0
220,E145,BLR,27561790,27561855,27561841,463.8928171,0.0,1.0,1.0,0.0
221,E145,BLR,27560350,27560415,27560406,463.8928171,0.0,1.0,1.0,0.0
222,E145,BLR,27558910,27558975,27558916,463.8928171,0.0,1.0,1.0,0.0
223,E145,BLR,27557470,27557535,27557522,463.8928171,0.0,1.0,1.0,0.0
224,E145,BLR,27556030,27556095,27556068,463.8928171,0.0,1.0,1.0,0.0
225,E145,BLR,27554590,27554655,27554631,463.8928171,0.0,1.0,1.0,0.0
226,E145,BLR,27553150,27553215,27553209,463.8928171,0.0,1.0,1.0,0.0
227,E145,BLR,27551710,27551775,27551720,463.8928171,0.0,1.0,1.0,0.0
228,E145,BLR,27550270,27550335,27550281,463.8928171,0.0,1.0,1.0,0.0
229,E145,BLR,27548830,27548895,27548839,463.8928171,0.0,1.0,1.0,0.0
230,E145,BLR,27547390,27547455,27547429,463.8928171,0.0,1.0,1.0,0.0
231,E145,BLR,27545950,27546015,27545964,463.8928171,0.0,1.0,1.0,0.0
232,E145,BLR,27544510,27544575,27544529,463.8928171,0.0,1.0,1.0,0.0
233,E145,BLR,27543070,27543135,27543091,463.8928171,0.0,1.0,1.0,0.0
234,E145,BLR,27541630,27541695,27541636,463.8928171,0.0,1.0,1.0,0.0
235,E145,BLR,27540190,27540255,27540193,463.8928171,0.0,1.0,1.0,0.0
236,E145,BLR,27538750,27538815,27538756,463.8928171,0.0,1.0,1.0,0.0
237,E145,BLR,27537310,27537375,27537313,463.8928171,0.0,1.0,1.0,0.0
238,E145,BLR,27535870,27535935,27536048,463.8928171,0.0,1.0,1.0,0.0
239,E145,BLR,27534430,27534495,27534464,463.8928171,0.0,1.0,1.0,0.0
240,E145,BLR,27532990,27533055,27533003,463.8928171,0.0,1.0,1.0,0.0
241,E145,BLR,27531550,27531615,27531559,463.8928171,0.0,1.0,1.0,0.0
242,E145,BLR,27530110,27530175,27530202,463.8928171,0.0,1.0,1.0,0.0
243,E145,BLR,27528670,27528735,27528855,463.8928171,0.0,1.0,1.0,0.0
244,E145,BLR,27527230,27527295,27527228,463.8928171,0.0,1.0,1.0,0.0
245,E145,BLR,27525790,27525855,27525792,463.8928171,0.0,1.0,1.0,0.0
246,E145,BLR,27524350,27524415,27524352,463.8928171,0.0,1.0,1.0,0.0
247,E145,BLR,27522910,27522975,27522918,463.8928171,0.0,1.0,1.0,0.0
248,E145,BLR,27521470,27521535,27521534,463.8928171,0.0,1.0,1.0,0.0
249,E145,BLR,27520030,27520095,27520031,463.8928171,0.0,1.0,1.0,0.0
250,E145,BLR,27518590,27518655,27518663,463.8928171,0.0,1.0,1.0,0.0
251,E145,BLR,27517150,27517215,27517169,463.8928171,0.0,1.0,1.0,0.0
252,E145,BLR,27515710,27515775,27515767,463.8928171,0.0,1.0,1.0,0.0
253,E145,BLR,27514270,27514335,27514283,463.8928171,0.0,1.0,1.0,0.0
254,E145,BLR,27512830,27512895,27512883,463.8928171,0.0,1.0,1.0,0.0
255,E145,BLR,27511390,27511455,27511588,463.8928171,0.0,1.0,1.0,0.0
256,E145,BLR,27509950,27510015,27509953,463.8928171,0.0,1.0,1.0,0.0
257,E145,BLR,27508510,27508575,27508528,463.8928171,0.0,1.0,1.0,0.0
258,E145,BLR,27507070,27507135,27507086,463.8928171,0.0,1.0,1.0,0.0
259,E145,BLR,27505630,27505695,27505638,463.8928171,0.0,1.0,1.0,0.0
260,E145,BLR,27504190,27504255,27504205,463.8928171,0.0,1.0,1.0,0.0
261,E145,BLR,27502750,27502815,27502757,463.8928171,0.0,1.0,1.0,0.0
262,E145,BLR,27501310,27501375,27501315,463.8928171,0.0,1.0,1.0,0.0
263,E145,BLR,27499870,27499935,27499906,463.8928171,0.0,1.0,1.0,0.0
264,E145,BLR,27498430,27498495,27498504,463.8928171,0.0,1.0,1.0,0.0
265,E145,BLR,27496990,27497055,27497007,463.8928171,0.0,1.0,1.0,0.0
266,E145,BLR,27495550,27495615,27495563,463.8928171,0.0,1.0,1.0,0.0
267,E145,BLR,27494110,27494175,27494121,463.8928171,0.0,1.0,1.0,0.0
268,E145,BLR,27492670,27492735,27492680,463.8928171,0.0,1.0,1.0,0.0
269,E145,BLR,27491230,27491295,27491241,463.8928171,0.0,1.0,1.0,0.0
270,E145,BLR,27489790,27489855,27489795,463.8928171,0.0,1.0,1.0,0.0
271,E145,BLR,27488350,27488415,27488410,463.8928171,0.0,1.0,1.0,0.0
272,E145,BLR,27486910,27486975,27486925,463.8928171,0.0,1.0,1.0,0.0
273,E145,BLR,27485470,27485535,27485481,463.8928171,0.0,1.0,1.0,0.0
274,E145,BLR,27484030,27484095,27484036,463.8928171,0.0,1.0,1.0,0.0
275,E145,BLR,27482590,27482655,27482592,463.8928171,0.0,1.0,1.0,0.0
276,E145,BLR,27481150,27481215,27481414,463.8928171,0.0,1.0,1.0,0.0
277,E145,BLR,27479710,27479775,27479710,463.8928171,0.0,1.0,1.0,0.0
278,E145,BLR,27478270,27478335,27478277,463.8928171,0.0,1.0,1.0,0.0
279,E145,BLR,27476830,27476895,27476835,463.8928171,0.0,1.0,1.0,0.0
280,E145,BLR,27475390,27475455,27475391,463.8928171,0.0,1.0,1.0,0.0
281,E145,BLR,27473950,27474015,27473955,463.8928171,0.0,1.0,1.0,0.0
282,E145,BLR,27472510,27472575,27472510,463.8928171,0.0,1.0,1.0,0.0
283,E145,BLR,27471070,27471135,27471113,463.8928171,0.0,1.0,1.0,0.0
284,E145,BLR,27469630,27469695,27469635,463.8928171,0.0,1.0,1.0,0.0
285,E145,BLR,27468190,27468255,27468251,463.8928171,0.0,1.0,1.0,0.0
286,E145,BLR,27466750,27466815,27466774,463.8928171,0.0,1.0,1.0,0.0
287,E145,BLR,27465310,27465375,27465334,463.8928171,0.0,1.0,1.0,0.0
288,E145,BLR,27463870,27463935,27463868,463.8928171,0.0,1.0,1.0,0.0
289,E145,BLR,27462430,27462495,27462449,463.8928171,0.0,1.0,1.0,0.0
290,E145,BLR,27460990,27461055,27460989,463.8928171,0.0,1.0,1.0,0.0
291,E145,BLR,27459550,27459615,27459555,463.8928171,0.0,1.0,1.0,0.0
292,E145,BLR,27458110,27458175,27458116,463.8928171,0.0,1.0,1.0,0.0
293,E145,BLR,27456670,27456735,27456690,463.8928171,0.0,1.0,1.0,0.0
294,E145,BLR,27455230,27455295,27455231,463.8928171,0.0,1.0,1.0,0.0
295,E145,BLR,27453790,27453855,27453807,463.8928171,0.0,1.0,1.0,0.0
296,E145,BLR,27452350,27452415,27452377,463.8928171,0.0,1.0,1.0,0.0
297,E145,BLR,27450910,27450975,27450935,463.8928171,0.0,1.0,1.0,0.0
298,E145,BLR,27449470,27449535,27449490,463.8928171,0.0,1.0,1.0,0.0
299,E145,BLR,27448030,27448095,27448046,463.8928171,0.0,1.0,1.0,0.0
300,E145,BLR,27446590,27446655,27446617,463.8928171,0.0,1.0,1.0,0.0
301,E145,BLR,27445150,27445215,27445214,463.8928171,0.0,1.0,1.0,0.0
302,E145,BLR,27443710,27443775,27443732,463.8928171,0.0,1.0,1.0,0.0
303,E145,BLR,27442270,27442335,27442287,463.8928171,0.0,1.0,1.0,0.0
304,E145,BLR,27440830,27440895,27440849,463.8928171,0.0,1.0,1.0,0.0
305,E145,BLR,27439390,27439455,27439510,463.8928171,0.0,1.0,1.0,0.0
306,E145,BLR,27437950,27438015,27437958,463.8928171,0.0,1.0,1.0,0.0
307,E145,BLR,27436510,27436575,27436531,463.8928171,0.0,1.0,1.0,0.0
308,E145,BLR,27435070,27435135,27435095,463.8928171,0.0,1.0,1.0,0.0
309,E145,BLR,27433630,27433695,27433661,463.8928171,0.0,1.0,1.0,0.0
310,E145,BLR,27432190,27432255,27432224,463.8928171,0.0,1.0,1.0,0.0
311,E145,BLR,27430750,27430815,27430761,463.8928171,0.0,1.0,1.0,0.0
312,E145,BLR,27429310,27429375,27429323,463.8928171,0.0,1.0,1.0,0.0
313,E145,BLR,27427870,27427935,27427903,463.8928171,0.0,1.0,1.0,0.0
314,E145,BLR,27426430,27426495,27426442,463.8928171,0.0,1.0,1.0,0.0
315,E145,BLR,27424990,27425055,27424999,463.8928171,0.0,1.0,1.0,0.0
316,E145,BLR,27423550,27423615,27423562,463.8928171,0.0,1.0,1.0,0.0
317,E145,BLR,27422110,27422175,27422121,463.8928171,0.0,1.0,1.0,0.0
